id,day,start_time,end_time,module_code
1,Monday,11:00,12:00,CSC1020
2,Monday,12:00,13:00,CSC1017
3,Monday,14:00,15:00,CSC1021
4,Monday,15:00,16:00,CSC1022
5,Tuesday,10:00,11:00,CSC1021
6,Tuesday,12:00,13:00,CSC1020
7,Tuesday,15:00,16:00,CSC1017
8,Tuesday,16:00,17:00,CSC1022
9,Wednesday,9:00,13:00,CSC1022
10,Wednesday,13:00,14:00,CSC1022
11,Thursday,11:00,13:00,CSC1021
12,Thursday,13:00,15:00,CSC1020
13,Thursday,15:00,17:00,CSC1020
14,Friday,9:00,11:00,CSC1017
15,Friday,11:00,13:00,CSC1017
16,Friday,13:00,14:00,CSC1020
17,Friday,14:00,15:00,CSC1021
18,Friday,15:00,16:00,CSC1017
