id,day,start_time,end_time,module_code
1,Monday,9:00,10:00,CSC3062
2,Monday,12:00,13:00,CSC3058
3,Monday,13:00,14:00,CSC3021
4,Monday,14:00,15:00,CSC3047
5,Monday,15:00,17:00,CSC3021
6,Tuesday,10:00,11:00,CSC3047
7,Tuesday,11:00,12:00,CSC3052
8,Tuesday,12:00,14:00,CSC3062
9,Tuesday,14:00,15:00,CSC3052
10,Tuesday,15:00,17:00,CSC3045
11,Wednesday,9:00,10:00,CSC3002
12,Wednesday,10:00,11:00,CSC3058
13,Wednesday,11:00,12:00,CSC3058
14,Wednesday,12:00,13:00,CSC3045
15,Wednesday,13:00,14:00,CSC3023
16,Wednesday,14:00,15:00,CSC3045
17,Thursday,9:00,11:00,CSC3058
18,Thursday,11:00,13:00,CSC3052
19,Thursday,13:00,15:00,CSC3062
20,Thursday,15:00,16:00,CSC3062
21,Thursday,16:00,17:00,CSC3060
22,Friday,9:00,10:00,CSC3060
23,Friday,10:00,11:00,CSC3021
24,Friday,11:00,12:00,CSC3062
25,Friday,12:00,13:00,CSC3060
26,Friday,13:00,15:00,CSC3060
