event_name,duration,date/time,planned_size
Education Catch UP,120,14.01.2019 10:30:00,5
Education Catch UP,120,21.01.2019 10:30:00,5
Education Catch UP,120,28.01.2019 10:30:00,5
Education Catch UP,120,04.02.2019 10:30:00,5
Education Catch UP,120,11.02.2019 10:30:00,5
Education Catch UP,120,18.02.2019 10:30:00,5
Education Catch UP,120,25.02.2019 10:30:00,5
Education Catch UP,120,04.03.2019 10:30:00,5
Education Catch UP,120,11.03.2019 10:30:00,5
Education Catch UP,120,18.03.2019 10:30:00,5
Education Catch UP,120,25.03.2019 10:30:00,5
Education Catch UP,120,01.04.2019 10:30:00,5
Education Catch UP,120,08.04.2019 10:30:00,5
Education Catch UP,120,15.04.2019 10:30:00,5
Education Catch UP,120,22.04.2019 10:30:00,5
Education Catch UP,120,29.04.2019 10:30:00,5
Education Catch UP,120,06.05.2019 10:30:00,5
Education Catch UP,120,13.05.2019 10:30:00,5
Education Catch UP,120,20.05.2019 10:30:00,5
Education Catch UP,120,27.05.2019 10:30:00,5
Education Catch UP,120,03.06.2019 10:30:00,5
Education Catch UP,120,10.06.2019 10:30:00,5
Education Catch UP,120,17.06.2019 10:30:00,5
Education Catch UP,120,24.06.2019 10:30:00,5
Education Catch UP,120,01.07.2019 10:30:00,5
Education Catch UP,120,08.07.2019 10:30:00,5
Education Catch UP,120,15.07.2019 10:30:00,5
Education Catch UP,120,22.07.2019 10:30:00,5
Education Catch UP,120,29.07.2019 10:30:00,5
Education Catch UP,120,05.08.2019 10:30:00,5
Education Catch UP,120,12.08.2019 10:30:00,5
Education Catch UP,120,19.08.2019 10:30:00,5
Education Catch UP,120,26.08.2019 10:30:00,5
Education Catch UP,120,02.09.2019 10:30:00,5
Education Catch UP,120,09.09.2019 10:30:00,5
Education Catch UP,120,16.09.2019 10:30:00,5
Faculty,60,04.10.2018 14:30:00,10
FACULTY,60,04.10.2018 15:30:00,10
Faculty - Crag Downes,60,01.02.2019 09:30:00,15
Faculty - Craig Downes,60,05.10.2018 09:30:00,5
Faculty - Craig Downes,60,02.11.2018 09:30:00,15
Faculty - Craig Downes,60,07.12.2018 09:30:00,15
Faculty - Craig Downes,60,05.04.2019 09:30:00,15
Faculty - Craig Downes,60,07.06.2019 09:30:00,15
Faculty Office - Craig Downes,60,01.03.2019 09:30:00,15
FEB informal meeting,90,28.11.2018 09:30:00,15
Final Year Project Showcase 19,540,01.05.2019 09:00:00,10
Academic Apprentices Scheme,180,01.05.2019 13:00:00,10
Academic Apprentices Scheme,180,08.05.2019 13:00:00,10
Academic Apprentices Scheme,180,15.05.2019 13:00:00,10
Allstate Global Hackathon,840,26.10.2018 10:00:00,10
Allstate Global Hackathon,840,27.10.2018 10:00:00,10
Allstate Global Hackathon,840,28.10.2018 10:00:00,10
An Evening with Tech,240,28.11.2018 18:00:00,10
Being Adviser of Studies,180,03.10.2018 09:30:00,18
Being an Adviser of Studies,180,24.10.2018 09:45:00,17
Being an Adviser of Studies,180,18.06.2019 09:45:00,17
Code4Good Meeting,60,27.09.2018 16:30:00,10
Code4Good Meeting,60,11.10.2018 16:30:00,10
Code4Good Meeting,60,18.10.2018 16:30:00,10
Code4Good Meeting,60,25.10.2018 16:30:00,10
Code4Good Meeting,60,01.11.2018 16:30:00,10
Code4Good Meeting,60,08.11.2018 16:30:00,10
Code4Good Meeting,60,15.11.2018 16:30:00,10
Code4Good Meeting,60,22.11.2018 16:30:00,10
Code4Good Meeting,60,29.11.2018 16:30:00,10
Code4Good Meeting,60,06.12.2018 16:30:00,10
Code4Good Meeting,60,13.12.2018 16:30:00,10
Confident Communications,480,02.10.2018 09:00:00,15
CyberFirst Event,240,25.01.2019 17:00:00,10
Cyberfirst Event,600,26.01.2019 08:30:00,10
EEECS Induction,120,11.10.2018 13:00:00,15
EEECS Staff Induction,120,24.01.2019 13:00:00,15
EEECS Staff Induction,120,02.05.2019 13:00:00,15
EEECS Staff Induction,120,27.06.2019 13:00:00,15
Marine Research Group Meeting,60,04.10.2018 11:00:00,10
MSc Assessment,120,01.10.2018 10:00:00,5
MSc Marking,120,27.09.2018 10:00:00,5
MSc Marking,240,03.10.2018 13:00:00,5
MSc Marking,300,04.10.2018 14:00:00,5
PGR Induction,270,09.10.2018 09:15:00,15
Psychology-BPS Meeting,300,26.09.2018 14:00:00,18
Small Group Teaching,180,14.11.2018 13:45:00,17
Small Group Teaching,180,23.01.2019 13:45:00,17
Tier 4 Practitioners Group ISS,120,10.10.2018 08:30:00,16
Cyberfirst Event,150,26.01.2019 18:30:00,10
Cyberfirst Event,600,26.01.2019 08:30:00,10
ELE2036/LC1/01,120,26.09.2018 13:00:00,90
Final Year Project Showcase 19,540,01.05.2019 09:00:00,10
PGR Matlab Training,480,10.04.2019 09:00:00,40
PGR Matlab Training,480,11.04.2019 09:00:00,40
PMY1051/CC2/01,120,25.09.2018 09:00:00,40
PMY1052/CC2/01,120,25.09.2018 09:00:00,40
Python Training (PhD Students),360,17.12.2018 10:00:00,40
Python Training (PhD Students),360,18.12.2018 10:00:00,40
Python Training (PhD Students),360,19.12.2018 10:00:00,40
